sid,name,slug,sector,ticker,marketCap,price,change,turnover
JINDC,Jindal Capital Ltd,/stocks/jindal-capital-JINDC,Diversified Financials,JINDCAP,Smallcap,31.75,-0.589999974,92693.75781
LAGN,Lagnam Spintex Ltd,/stocks/lagnam-spintex-LAGN,Textiles,LAGNAM,Smallcap,80.33000183,1.039999962,92665.64844
KIF,Kifs Financial Services Ltd,/stocks/kifs-financial-services-KIF,Specialized Finance,KIFS,Smallcap,115,-4.960000038,92513.52344
MAHAA,Lake Shore Realty Ltd,/stocks/mahaan-foods-MAHAA,Real Estate,LAKESHORE,Smallcap,71.13999939,4.730000019,92444.10938
MAYUR,Mayur Leather Products Ltd,/stocks/mayur-leather-products-MAYUR,Footwear,MAYUR,Smallcap,20.75,4.75,92435.07031
GENU,Genus Prime Infra Ltd,/stocks/genus-prime-infra-GENU,Real Estate,GENUSPRIME,Smallcap,31.12000084,-0.159999996,92407.34375
LEE,Lee & Nee Softwares (Exports) Ltd,/stocks/lee-and-nee-software-exports-LEE,IT Services & Consulting,LEENEE,Smallcap,7.829999924,0.379999995,92274.29688
SIPA,South India Paper Mills Ltd,/stocks/south-india-paper-mills-SIPA,Paper Products,STHINPA,Smallcap,104.5,-2.880000114,91544.85938
SUG,Sugal and Damani Share Brokers Ltd,/stocks/sugal-and-damani-share-brokers-SUG,Investment Banking & Brokerage,SUGALDAM,Smallcap,61.99000168,3.440000057,91254.79688
SYM,Symbiox Investment & Trading Co Ltd,/stocks/symbiox-investment-and-trading-co-SYM,Textiles,SYMBIOX,Smallcap,1.549999952,-3.130000114,91059
SWAST,Swasti Vinayaka Synthetics Ltd,/stocks/swasti-vinayaka-synthetics-SWAST,Apparel & Accessories,SWASTIVI,Smallcap,3.700000048,-0.540000021,90934.35938
GLOBT,Globtier Infotech Ltd,/stocks/globtier-infotech-GLOBT,Software Services,GLOBTIER,Smallcap,18.88999939,-4.929999828,90624
HBSH,HB Stockholdings Ltd,/stocks/hb-stockholdings-HBSH,Investment Banking & Brokerage,HBSL,Smallcap,51.99000168,-1.419999957,90586.64844
FRONC,Frontier Capital Ltd,/stocks/frontier-capital-FRONC,Diversified Financials,FRONTCAP,Smallcap,9.380000114,-0.949999988,90202.65625
STRA,Stratmont Industries Ltd,/stocks/stratmont-industries-STRA,Commodities Trading,STRATMONT,Smallcap,57.5,-1.389999986,90034.45313
SHPL,Sayaji Hotels (Pune) Ltd,/stocks/sayaji-hotels-pune-SHPL,"Hotels, Resorts & Cruise Lines",SHPLPUNE,Smallcap,800,-1.200000048,89614.74219
STD,Standard Surfactants Ltd,/stocks/standard-surfactants-STD,FMCG - Household Products,STDSFAC,Smallcap,51.22000122,-2.730000019,89508.64844
ARSH,Arshiya Ltd,/stocks/arshiya-ARSH,Logistics,ARSHIYA,Smallcap,1.080000043,1.889999986,89399.10156
